0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
282,오재원,21두2B,-0.43,45,79,72,6,12,3,0,0,15,5,2,0,6,0,0,18,3,0,1,0.167,0.228,0.208,0.436,0.216,17.9,-0.43,-0.64
283,노태형,21한1B,-0.43,18,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0,0,0.116,0.225,0.14,0.364,0.196,3.9,-0.43,-0.44
284,이도윤,21한SS,-0.45,56,68,63,5,11,0,0,0,11,2,1,2,4,0,0,18,1,1,0,0.175,0.224,0.175,0.399,0.198,6.6,-0.45,-0.59
285,박주홍,21키DH,-0.45,23,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,0.106,0.25,0.149,0.399,0.217,18.3,-0.45,-0.34
286,김창평,21SLF,-0.47,40,28,25,6,2,0,0,0,2,1,2,1,1,0,0,6,0,2,0,0.08,0.115,0.08,0.195,0.095,-63.3,-0.47,-0.2
287,박정현,21한SS,-0.52,33,120,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,0.196,0.256,0.234,0.49,0.235,30.9,-0.52,-0.59
288,이원석,21한CF,-0.71,43,130,114,12,20,1,1,1,26,9,4,2,8,2,0,43,1,4,2,0.175,0.238,0.228,0.466,0.221,22,-0.71,-1.37
289,유장혁,21한CF,-0.72,34,112,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,0.143,0.218,0.224,0.443,0.212,15.3,-0.72,-1.14
290,예진원,21키CF,-0.75,52,132,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,0.24,32.5,-0.75,-1.33
291,임종찬,21한RF,-1.06,42,146,132,9,20,5,0,1,28,8,0,1,12,1,0,49,2,1,0,0.152,0.228,0.212,0.44,0.217,18.7,-1.06,-1.09
